data,hora,tipo,titulo,responsavel,obs,corFundo,corTexto
01/01/1910,,Feriado,Feriado Nacional,,Ano Novo,#CC0000,#FFFFFF
18/04/1910,,Feriado,Feriado Nacional,,Sexta-Feira Santa,#CC0000,#FFFFFF
21/04/1910,,Feriado,Feriado Nacional,,Dia de Tiradentes,#CC0000,#FFFFFF
01/05/1910,,Feriado,Feriado Nacional,,Dia do Trabalho,#CC0000,#FFFFFF
19/06/1910,,Feriado,Feriado,,Corpus Christi,#CC0000,#FFFFFF
17/06/1910,,Feriado,Feriado Municipal,,Dia de São Manoel,#CC0000,#FFFFFF
09/07/1910,,Feriado,Feriado Estadual,,Revolução Constitucionalista,#CC0000,#FFFFFF
29/08/1910,,Feriado,Feriado Municipal,,Aniversário de Leme,#CC0000,#FFFFFF
01/09/1910,,Feriado,⚽ Corinthians,Corinthians,"Às 20h30 do dia 1º de setembro de 1910; à luz de um lampião; na esquina das ruas José Paulino e Cônego Martins; no bairro do Bom Retiro; o grupo de operários formado por Anselmo Corrêa; Antônio Pereira; Carlos Silva; Joaquim Ambrósio e Raphael Perrone fundaram o Sport Club Corinthians Paulista.",#000000ff,#FFFFFF
07/09/1910,,Feriado,Feriado Nacional,,Independência do Brasil,#CC0000,#FFFFFF
12/10/1910,,Feriado,Feriado Nacional,,Nossa Senhora Aparecida,#CC0000,#FFFFFF
02/11/1910,,Feriado,Feriado Nacional,,Finados,#CC0000,#FFFFFF
15/11/1910,,Feriado,Feriado Nacional,,Proclamação da República,#CC0000,#FFFFFF
20/11/1910,,Feriado,Feriado Municipal,,Consciência Negra,#CC0000,#FFFFFF
25/12/1910,,Feriado,Feriado Natal,,Natal,#CC0000,#FFFFFF